Date,Volume,Volume
1989-07-07,1984800,17790000
1989-07-10,1021600,13510000
1989-07-11,2570400,16750000
1989-07-12,2284800,14370000
1989-07-13,1535200,15760000
1989-07-14,1960000,22470000
1989-07-17,1596000,14010000
1989-07-18,1332000,12420000
1989-07-19,4366400,23370000
1989-07-20,2623200,25300000
1989-07-21,3571200,26980000
1989-07-24,1640000,18240000
1989-07-25,2328000,21250000
1989-07-26,3254400,22470000
1989-07-27,2959200,25430000
1989-07-28,2516800,20070000
1989-07-31,7329600,19130000
1989-08-01,7669600,33280000
1989-08-02,1429600,20960000
1989-08-03,2536800,19490000
1989-08-04,2138400,19220000
1989-08-07,1916000,22060000
1989-08-08,3009600,24490000
1989-08-09,3090400,24750000
1989-08-10,2412000,21570000
1989-08-11,2056000,27250000
1989-08-14,2268000,19200000
1989-08-15,2501600,16450000
1989-08-16,2642400,15450000
1989-08-17,2648800,16120000
1989-08-18,2825600,20530000
1989-08-21,3088000,16270000
1989-08-22,1875200,17400000
1989-08-23,2092000,17100000
1989-08-24,3318400,28860000
1989-08-25,1592000,19160000
1989-08-28,1344800,19240000
1989-08-29,1750400,21430000
1989-08-30,2250400,20920000
1989-08-31,1696000,17130000
1989-09-01,3211200,16860000
1989-09-05,2425600,18320000
1989-09-06,1907200,22990000
1989-09-07,2138400,21040000
1989-09-08,1288000,20530000
1989-09-11,1848000,17050000
1989-09-12,1903200,16050000
1989-09-13,3413600,20370000
1989-09-14,1966400,16980000
1989-09-15,4638400,36730000
1989-09-18,1680000,13580000
1989-09-19,1425600,13630000
1989-09-20,1282400,13250000
1989-09-21,1221600,14320000
1989-09-22,1276000,11610000
1989-09-25,1699200,12530000
1989-09-26,1315200,16010000
1989-09-27,860800,25980000
1989-09-28,2924800,19920000
1989-09-29,1836800,17850000
1989-10-02,1833600,16370000
1989-10-03,3240000,28590000
1989-10-04,2850400,33390000
1989-10-05,1564800,19990000
1989-10-06,1610400,22280000
1989-10-09,857600,9360000
1989-10-10,2043200,14840000
1989-10-11,2588800,20120000
1989-10-12,3271200,18150000
1989-10-13,5250400,37620000
1989-10-16,7814400,69200000
1989-10-17,4895200,33610000
1989-10-18,2625600,20470000
1989-10-19,2426400,22880000
1989-10-20,2150400,26020000
1989-10-23,1697600,18130000
1989-10-24,4299200,33630000
1989-10-25,2796000,18720000
1989-10-26,3110400,23200000
1989-10-27,4873600,22440000
1989-10-30,1851200,15130000
1989-10-31,2503200,22380000
1989-11-01,2090400,21670000
1989-11-02,1340000,18460000
1989-11-03,1130400,14940000
1989-11-06,2591200,17540000
1989-11-07,4052000,18990000
1989-11-08,4467200,18420000
1989-11-09,1186400,14180000
1989-11-10,3622400,16980000
1989-11-13,1720000,15880000
1989-11-14,3729600,16530000
1989-11-15,3667200,18590000
1989-11-16,1372000,15230000
1989-11-17,1867200,22330000
1989-11-20,9100800,15430000
1989-11-21,5974400,15650000
1989-11-22,1536800,13610000
1989-11-24,736800,9890000
1989-11-27,2043200,20410000
1989-11-28,1372800,21400000
1989-11-29,2024800,16420000
1989-11-30,3075200,17730000
1989-12-01,2564000,32640000
1989-12-04,2516800,19660000
1989-12-05,2729600,19190000
1989-12-06,1160000,15390000
1989-12-07,1395200,16470000
1989-12-08,2749600,13500000
1989-12-11,1941600,14470000
1989-12-12,2815200,21390000
1989-12-13,1928000,19870000
1989-12-14,926400,17890000
1989-12-15,3248800,38290000
1989-12-18,1499200,19950000
1989-12-19,2006400,21670000
