Date,WBA,UNH,TRV,VZ,WMT,PG,UTX,DOW
1988-06-02,1912000,278400,660000,1500600,8720000,4531200,3504000,23410000
1988-06-03,1628800,4992000,330400,1390200,3680000,3070400,1263200,19640000
1988-06-06,1230400,662400,349200,812900,3172800,3998400,1669600,15480000
1988-06-07,1099200,934400,556400,651500,3266400,2886400,2947200,20310000
1988-06-08,1686400,313600,377600,1420900,7648800,6100800,3804000,28680000
1988-06-09,649600,992000,474800,1230600,4865600,4633600,3128800,24700000
1988-06-10,1697600,195200,355200,879200,3626400,3371200,2392800,19550000
1988-06-13,524800,835200,201200,597100,3156800,2900800,962400,12490000
1988-06-14,2315200,998400,420400,1473400,11706400,5416000,5441600,40430000
1988-06-15,1630400,524800,265600,782100,2876000,2636800,1735200,16740000
1988-06-16,1451200,835200,303600,1005100,4160800,3908800,2447200,18880000
1988-06-17,2340800,339200,853200,2737400,11413600,10996800,3671200,36950000
1988-06-20,308800,204800,207200,558100,4224000,3088000,2792000,13410000
1988-06-21,2116800,118400,794400,832000,5302400,6304000,1871200,20460000
1988-06-22,2796800,563200,544000,2246900,9600800,6336000,2050400,28940000
1988-06-23,1286400,790400,660000,1514700,4644000,2905600,4195200,21580000
1988-06-24,1436800,265600,352000,3116800,3896000,2608000,2176800,17590000
1988-06-27,1000000,2736000,596800,3127500,6034400,4182400,1824000,15690000
1988-06-28,888000,793600,455600,860900,5592800,4569600,2444800,15660000
1988-06-29,1494400,1110400,414800,1348800,7912800,4136000,1616800,16100000
1988-06-30,3334400,358400,273200,815200,8368800,4908800,2394400,24430000
1988-07-01,1062400,361600,796000,963200,8350400,3617600,1474400,14340000
1988-07-05,1640000,720000,610800,697300,8564800,3848000,1305600,16870000
1988-07-06,2022400,867200,452000,977900,11214400,3907200,2508000,21230000
1988-07-07,2684800,883200,990000,1329700,9740000,3326400,2876000,17000000
1988-07-08,448000,118400,201200,673700,6081600,4086400,1142400,12630000
1988-07-11,1115200,4201600,185600,439300,4948000,3630400,2677600,10280000
1988-07-12,820800,1590400,220400,643000,4082400,5972800,1785600,18610000
1988-07-13,912000,1280000,320800,929000,7696800,8902400,2064000,18250000
1988-07-14,1027200,838400,162400,906300,6409600,4620800,2404800,14930000
1988-07-15,1414400,1462400,281600,1318700,8240000,8136000,2656000,22040000
1988-07-18,1393600,4899200,211600,710600,5251200,5481600,3994400,17140000
1988-07-19,854400,2300800,203600,1366200,4707200,5408000,1724000,15420000
1988-07-20,403200,134400,744000,614500,5953600,3904000,1880000,12290000
1988-07-21,617600,1945600,136800,487700,6739200,4270400,1381600,13200000
1988-07-22,2504000,1900800,368000,902300,5954400,3929600,1906400,15700000
1988-07-25,435200,6547200,485600,308100,3113600,2635200,2059200,10670000
1988-07-26,2507200,1724800,550000,530100,2702400,2209600,1884000,12570000
1988-07-27,1747200,953600,753600,719500,5435200,3515200,1441600,14970000
1988-07-28,1448000,3932800,312000,902300,3688800,5886400,2404000,15630000
1988-07-29,1409600,982400,406000,1987200,7575200,5636800,2847200,25140000
1988-08-01,7788800,828800,1066800,1712700,3289600,4651200,1005600,14450000
1988-08-02,2414400,1123200,1689600,802600,5207200,4424000,2505600,20610000
1988-08-03,2932800,332800,1116800,680300,4643200,4433600,2087200,18270000
1988-08-04,1080000,1379200,1413600,483300,4208800,3428800,1344800,20280000
1988-08-05,1329600,1145600,628000,557600,3531200,2841600,1365600,12880000
1988-08-08,1648000,1363200,932000,667000,2728000,3443200,1864800,12410000
1988-08-09,2147200,944000,358400,991800,4556000,3969600,1052800,19580000
