Date,TRV,DOW
1989-10-12,167200,18150000
1989-10-13,846000,37620000
1989-10-16,3214000,69200000
1989-10-17,1404800,33610000
1989-10-18,2070000,20470000
1989-10-19,910800,22880000
1989-10-20,1162000,26020000
1989-10-23,821600,18130000
1989-10-24,660000,33630000
1989-10-25,2189600,18720000
1989-10-26,1506400,23200000
1989-10-27,436400,22440000
1989-10-30,349200,15130000
1989-10-31,1904800,22380000
1989-11-01,692000,21670000
1989-11-02,616800,18460000
1989-11-03,908400,14940000
1989-11-06,560800,17540000
1989-11-07,842000,18990000
1989-11-08,1674400,18420000
1989-11-09,983200,14180000
1989-11-10,913600,16980000
1989-11-13,235600,15880000
1989-11-14,530000,16530000
1989-11-15,830400,18590000
1989-11-16,641600,15230000
1989-11-17,741600,22330000
1989-11-20,553200,15430000
1989-11-21,640400,15650000
1989-11-22,1690400,13610000
1989-11-24,526000,9890000
1989-11-27,2734000,20410000
1989-11-28,1550800,21400000
1989-11-29,486400,16420000
1989-11-30,723200,17730000
1989-12-01,873600,32640000
1989-12-04,222400,19660000
1989-12-05,443200,19190000
1989-12-06,498800,15390000
1989-12-07,225200,16470000
1989-12-08,622400,13500000
1989-12-11,718400,14470000
1989-12-12,895600,21390000
1989-12-13,661600,19870000
1989-12-14,352800,17890000
1989-12-15,662000,38290000
1989-12-18,1291200,19950000
1989-12-19,987600,21670000
1989-12-20,506000,20060000
1989-12-21,476400,22750000
1989-12-22,702000,11320000
1989-12-26,622800,7510000
1989-12-27,343200,12500000
1989-12-28,377600,12200000
1989-12-29,663200,14580000
1990-01-02,600800,20680000
1990-01-03,1022400,23620000
1990-01-04,1790000,24370000
1990-01-05,1163600,20290000
1990-01-08,424400,16610000
1990-01-09,1242800,15800000
1990-01-10,1831200,19950000
1990-01-11,714400,15790000
1990-01-12,862400,24180000
1990-01-15,1002800,18630000
1990-01-16,450800,25000000
1990-01-17,806400,21310000
1990-01-18,456800,22750000
1990-01-19,452000,23360000
1990-01-22,779600,20060000
1990-01-23,682000,22520000
1990-01-24,891600,28070000
1990-01-25,937600,22160000
1990-01-26,933200,25730000
1990-01-29,876000,16540000
1990-01-30,546000,24910000
1990-01-31,1306800,22510000
1990-02-01,2081200,19800000
