Date,VZ,DOW
1989-07-19,20.628216,2584.409912
1989-07-20,20.572008,2575.489990
1989-07-21,20.5158,2607.360107
1989-07-24,20.319073,2584.979980
1989-07-25,20.5158,2583.080078
1989-07-26,20.712526,2613.050049
1989-07-27,21.049774,2635.429932
1989-07-28,21.105982,2635.239990
1989-07-31,21.555643,2660.659912
1989-08-01,21.920992,2641.120117
1989-08-02,21.724266,2657.439941
1989-08-03,21.724266,2661.610107
1989-08-04,21.611851,2653.449951
1989-08-07,22.033407,2694.989990
1989-08-08,22.145823,2699.169922
1989-08-09,21.808577,2686.080078
1989-08-10,21.696161,2712.629883
1989-08-11,21.443228,2683.989990
1989-08-14,21.274605,2677.919922
1989-08-15,21.555643,2687.780029
1989-08-16,21.668058,2693.290039
1989-08-17,21.611851,2679.629883
1989-08-18,21.808577,2687.969971
1989-08-21,21.527538,2647.000000
1989-08-22,21.471331,2650.989990
1989-08-23,21.752369,2678.110107
1989-08-24,22.173927,2734.639893
1989-08-25,22.11772,2732.360107
1989-08-28,22.089615,2743.360107
1989-08-29,21.752369,2726.629883
1989-08-30,21.836681,2728.149902
1989-08-31,21.949097,2737.270020
1989-09-01,22.20203,2752.090088
1989-09-05,22.11772,2744.679932
1989-09-06,21.9772,2719.790039
1989-09-07,21.920992,2706.879883
1989-09-08,21.808577,2709.540039
1989-09-11,21.780474,2704.409912
1989-09-12,21.808577,2707.260010
1989-09-13,21.583746,2679.520020
1989-09-14,21.752369,2664.889893
1989-09-15,21.836681,2674.580078
1989-09-18,21.949097,2687.500000
1989-09-19,22.061512,2687.310059
1989-09-20,22.033407,2683.889893
1989-09-21,21.949097,2680.280029
1989-09-22,22.258238,2681.610107
1989-09-25,22.061512,2659.189941
1989-09-26,22.089615,2663.939941
1989-09-27,22.11772,2673.060059
1989-09-28,22.370653,2694.909912
1989-09-29,22.426861,2692.820068
1989-10-02,22.426861,2713.719971
1989-10-03,22.398758,2754.560059
1989-10-04,22.792212,2771.090088
1989-10-05,22.848419,2773.560059
1989-10-06,23.101353,2785.520020
1989-10-09,23.15756,2791.409912
1989-10-10,23.269976,2785.330078
1989-10-11,23.29808,2773.360107
1989-10-12,23.15756,2759.840088
1989-10-13,21.920992,2569.260010
1989-10-16,22.258238,2657.379883
1989-10-17,22.314445,2638.729980
1989-10-18,22.286343,2643.649902
1989-10-19,22.623589,2683.199951
1989-10-20,22.93273,2689.139893
1989-10-23,22.876522,2662.909912
1989-10-24,22.848419,2659.219971
1989-10-25,22.679796,2653.280029
1989-10-26,22.454966,2613.729980
1989-10-27,22.454966,2596.719971
1989-10-30,22.511173,2603.479980
1989-10-31,22.988937,2645.080078
1989-11-01,23.07325,2645.899902
1989-11-02,22.988937,2631.560059
1989-11-03,22.93273,2629.510010
1989-11-06,22.792212,2582.169922
1989-11-07,22.876522,2597.129883
1989-11-08,22.988937,2623.360107
1989-11-09,22.848419,2603.689941
1989-11-10,22.93273,2625.610107
1989-11-13,23.045145,2626.429932
1989-11-14,23.07325,2610.250000
1989-11-15,23.354288,2632.580078
1989-11-16,23.213768,2635.659912
1989-11-17,23.241873,2652.659912
1989-11-20,23.045145,2632.040039
1989-11-21,22.93273,2639.290039
1989-11-22,22.988937,2656.780029
1989-11-24,23.101353,2675.550049
1989-11-27,23.045145,2694.969971
1989-11-28,23.045145,2702.010010
1989-11-29,22.93273,2688.780029
1989-11-30,23.15756,2706.270020
1989-12-01,23.944468,2747.649902
1989-12-04,24.056883,2753.629883
1989-12-05,23.860157,2741.679932
1989-12-06,23.775845,2736.770020
1989-12-07,23.832052,2720.780029
1989-12-08,23.972572,2731.439941
1989-12-11,24.056883,2728.239990
1989-12-12,24.647064,2752.129883
1989-12-13,25.068623,2761.090088
1989-12-14,25.068623,2753.629883
