Date,WMT,DOW
1989-01-26,4.0625,2291.070068
1989-01-27,4.09375,2322.860107
1989-01-30,4.125,2324.110107
1989-01-31,4.21875,2342.320068
1989-02-01,4.234375,2338.209961
1989-02-02,4.1875,2333.750000
1989-02-03,4.1875,2331.250000
1989-02-06,4.203125,2321.070068
1989-02-07,4.28125,2347.139893
1989-02-08,4.328125,2343.209961
1989-02-09,4.265625,2323.040039
1989-02-10,4.171875,2286.070068
1989-02-13,4.1875,2282.500000
1989-02-14,4.203125,2281.250000
1989-02-15,4.28125,2303.929932
1989-02-16,4.265625,2311.429932
1989-02-17,4.296875,2324.820068
1989-02-21,4.203125,2326.429932
1989-02-22,4.125,2283.929932
1989-02-23,4.09375,2289.459961
1989-02-24,4,2245.540039
1989-02-27,4,2250.360107
1989-02-28,3.984375,2258.389893
1989-03-01,3.9375,2243.040039
1989-03-02,4.015625,2265.709961
1989-03-03,3.984375,2274.290039
1989-03-06,4.03125,2294.820068
1989-03-07,4.0625,2290.709961
1989-03-08,4.125,2295.540039
1989-03-09,4.125,2291.429932
1989-03-10,4.109375,2282.139893
1989-03-13,4.203125,2306.250000
1989-03-14,4.203125,2306.250000
1989-03-15,4.171875,2320.540039
1989-03-16,4.234375,2340.709961
1989-03-17,4.109375,2292.139893
1989-03-20,4.046875,2262.500000
1989-03-21,3.984375,2266.250000
1989-03-22,4.015625,2263.209961
1989-03-23,3.984375,2243.040039
1989-03-27,4.109375,2257.860107
1989-03-28,4.078125,2275.540039
1989-03-29,4.078125,2281.520020
1989-03-30,4.078125,2281.340088
1989-03-31,4.0625,2293.620117
1989-04-03,4.09375,2304.800049
1989-04-04,4.140625,2298.199951
1989-04-05,4.15625,2304.800049
1989-04-06,4.140625,2291.969971
1989-04-07,4.203125,2304.800049
1989-04-10,4.265625,2301.870117
1989-04-11,4.25,2311.580078
1989-04-12,4.25,2319.649902
1989-04-13,4.21875,2296.000000
1989-04-14,4.3125,2337.060059
1989-04-17,4.390625,2337.790039
1989-04-18,4.5,2379.399902
1989-04-19,4.5,2386.909912
