Date,UNH,DOW
1988-09-19,0.132813,2081.080078
1988-09-20,0.136719,2087.479980
1988-09-21,0.132813,2090.500000
1988-09-22,0.132813,2080.010010
1988-09-23,0.132813,2090.679932
1988-09-26,0.128906,2085.169922
1988-09-27,0.128906,2082.330078
1988-09-28,0.128906,2085.530029
1988-09-29,0.130859,2119.310059
1988-09-30,0.125,2112.909912
1988-10-03,0.125,2105.260010
1988-10-04,0.121094,2102.060059
1988-10-05,0.121094,2106.510010
1988-10-06,0.121094,2107.750000
1988-10-07,0.121094,2150.250000
1988-10-10,0.121094,2158.959961
1988-10-11,0.121094,2156.469971
1988-10-12,0.121094,2126.239990
1988-10-13,0.121094,2133.360107
1988-10-14,0.125,2133.179932
1988-10-17,0.125,2140.469971
1988-10-18,0.140625,2159.850098
1988-10-19,0.132813,2137.270020
1988-10-20,0.128906,2181.189941
1988-10-21,0.128906,2183.500000
1988-10-24,0.132813,2170.340088
1988-10-25,0.132813,2173.360107
1988-10-26,0.128906,2165.179932
1988-10-27,0.128906,2140.830078
1988-10-28,0.128906,2149.889893
1988-10-31,0.125,2148.649902
1988-11-01,0.128906,2150.959961
1988-11-02,0.128906,2156.830078
1988-11-03,0.128906,2170.340088
1988-11-04,0.128906,2145.800049
1988-11-07,0.132813,2124.639893
1988-11-08,0.128906,2127.489990
1988-11-09,0.128906,2118.239990
1988-11-10,0.132813,2114.689941
1988-11-11,0.128906,2067.030029
1988-11-14,0.132813,2065.080078
1988-11-15,0.128906,2077.169922
1988-11-16,0.132813,2038.579956
1988-11-17,0.125,2052.449951
1988-11-18,0.128906,2062.409912
1988-11-21,0.121094,2065.969971
1988-11-22,0.128906,2077.699951
1988-11-23,0.121094,2092.280029
1988-11-25,0.121094,2074.679932
1988-11-28,0.125,2081.439941
1988-11-29,0.121094,2101.530029
1988-11-30,0.121094,2114.510010
1988-12-01,0.121094,2101.879883
1988-12-02,0.128906,2092.280029
1988-12-05,0.125,2123.760010
1988-12-06,0.125,2149.360107
