Date,PG,DOW
1988-11-25,5.015625,2074.679932
1988-11-28,5.03125,2081.439941
1988-11-29,5.101563,2101.530029
1988-11-30,5.117188,2114.510010
1988-12-01,5.125,2101.879883
1988-12-02,5.109375,2092.280029
1988-12-05,5.1875,2123.760010
1988-12-06,5.265625,2149.360107
1988-12-07,5.265625,2153.629883
1988-12-08,5.242188,2141.709961
1988-12-09,5.25,2143.489990
1988-12-12,5.257813,2139.580078
1988-12-13,5.257813,2143.489990
1988-12-14,5.257813,2134.250000
1988-12-15,5.234375,2133.000000
1988-12-16,5.296875,2150.709961
1988-12-19,5.359375,2172.679932
1988-12-20,5.34375,2166.070068
1988-12-21,5.359375,2164.639893
1988-12-22,5.390625,2160.360107
1988-12-23,5.40625,2168.929932
1988-12-27,5.375,2162.679932
1988-12-28,5.375,2166.429932
1988-12-29,5.390625,2182.679932
1988-12-30,5.4375,2168.570068
1989-01-03,5.28125,2144.639893
1989-01-04,5.335938,2177.679932
1989-01-05,5.351563,2190.540039
1989-01-06,5.390625,2194.290039
1989-01-09,5.445313,2199.459961
1989-01-10,5.539063,2193.209961
1989-01-11,5.484375,2206.429932
1989-01-12,5.476563,2222.320068
1989-01-13,5.453125,2226.070068
1989-01-16,5.460938,2224.639893
1989-01-17,5.476563,2214.639893
1989-01-18,5.492188,2238.750000
1989-01-19,5.492188,2239.110107
1989-01-20,5.484375,2235.360107
1989-01-23,5.460938,2218.389893
1989-01-24,5.492188,2256.429932
1989-01-25,5.5,2265.889893
1989-01-26,5.601563,2291.070068
1989-01-27,5.734375,2322.860107
1989-01-30,5.703125,2324.110107
1989-01-31,5.757813,2342.320068
1989-02-01,5.734375,2338.209961
1989-02-02,5.71875,2333.750000
1989-02-03,5.671875,2331.250000
1989-02-06,5.648438,2321.070068
1989-02-07,5.625,2347.139893
1989-02-08,5.625,2343.209961
1989-02-09,5.617188,2323.040039
1989-02-10,5.570313,2286.070068
1989-02-13,5.585938,2282.500000
1989-02-14,5.609375,2281.250000
1989-02-15,5.664063,2303.929932
1989-02-16,5.695313,2311.429932
1989-02-17,5.75,2324.820068
1989-02-21,5.757813,2326.429932
1989-02-22,5.679688,2283.929932
1989-02-23,5.632813,2289.459961
1989-02-24,5.539063,2245.540039
1989-02-27,5.539063,2250.360107
1989-02-28,5.539063,2258.389893
1989-03-01,5.453125,2243.040039
1989-03-02,5.5,2265.709961
1989-03-03,5.515625,2274.290039
1989-03-06,5.546875,2294.820068
1989-03-07,5.523438,2290.709961
1989-03-08,5.546875,2295.540039
1989-03-09,5.554688,2291.429932
1989-03-10,5.5,2282.139893
1989-03-13,5.5625,2306.250000
1989-03-14,5.625,2306.250000
1989-03-15,5.664063,2320.540039
1989-03-16,5.695313,2340.709961
1989-03-17,5.671875,2292.139893
1989-03-20,5.601563,2262.500000
1989-03-21,5.648438,2266.250000
1989-03-22,5.703125,2263.209961
1989-03-23,5.703125,2243.040039
1989-03-27,5.695313,2257.860107
1989-03-28,5.765625,2275.540039
1989-03-29,5.75,2281.520020
1989-03-30,5.757813,2281.340088
1989-03-31,5.78125,2293.620117
1989-04-03,5.789063,2304.800049
1989-04-04,5.742188,2298.199951
1989-04-05,5.75,2304.800049
1989-04-06,5.710938,2291.969971
1989-04-07,5.726563,2304.800049
1989-04-10,5.757813,2301.870117
1989-04-11,5.734375,2311.580078
1989-04-12,5.765625,2319.649902
1989-04-13,5.71875,2296.000000
1989-04-14,5.8125,2337.060059
1989-04-17,5.765625,2337.790039
1989-04-18,5.875,2379.399902
1989-04-19,5.882813,2386.909912
1989-04-20,5.828125,2377.379883
1989-04-21,5.921875,2409.459961
1989-04-24,5.875,2402.679932
1989-04-25,5.929688,2386.850098
1989-04-26,5.914063,2389.100098
1989-04-27,5.9375,2418.989990
1989-04-28,5.976563,2418.800049
1989-05-01,6.101563,2414.959961
1989-05-02,6.039063,2402.860107
1989-05-03,6.054688,2393.699951
1989-05-04,6.039063,2384.899902
1989-05-05,6.046875,2381.959961
1989-05-08,6.046875,2376.469971
1989-05-09,6.054688,2371.330078
1989-05-10,6.03125,2374.449951
1989-05-11,6.03125,2382.879883
1989-05-12,6.140625,2439.699951
1989-05-15,6.1875,2463.889893
1989-05-16,6.179688,2453.449951
1989-05-17,6.226563,2462.429932
1989-05-18,6.21875,2470.120117
1989-05-19,6.382813,2501.100098
1989-05-22,6.484375,2502.020020
1989-05-23,6.382813,2478.010010
1989-05-24,6.429688,2483.870117
1989-05-25,6.398438,2482.590088
1989-05-26,6.414063,2493.770020
1989-05-30,6.367188,2475.550049
1989-05-31,6.421875,2480.149902
1989-06-01,6.453125,2490.629883
1989-06-02,6.609375,2517.830078
1989-06-05,6.523438,2480.699951
1989-06-06,6.5,2496.320068
1989-06-07,6.539063,2512.320068
1989-06-08,6.507813,2516.909912
1989-06-09,6.554688,2513.419922
1989-06-12,6.914063,2518.840088
1989-06-13,6.796875,2503.540039
1989-06-14,6.890625,2503.360107
1989-06-15,6.84375,2475.000000
1989-06-16,6.914063,2486.379883
1989-06-19,6.851563,2479.889893
1989-06-20,6.882813,2472.879883
1989-06-21,6.890625,2464.909912
1989-06-22,6.898438,2481.979980
1989-06-23,7.15625,2531.870117
1989-06-26,7.085938,2511.379883
1989-06-27,7.070313,2526.370117
1989-06-28,7.007813,2504.739990
1989-06-29,6.867188,2458.270020
1989-06-30,6.773438,2440.060059
1989-07-03,6.78125,2452.770020
1989-07-05,6.789063,2456.560059
1989-07-06,6.796875,2462.439941
1989-07-07,6.9375,2487.860107
1989-07-10,7.023438,2502.659912
1989-07-11,7.015625,2514.610107
1989-07-12,7.171875,2532.629883
1989-07-13,7.210938,2538.320068
1989-07-14,7.28125,2554.820068
1989-07-17,7.195313,2553.489990
1989-07-18,7.125,2544.760010
1989-07-19,7.320313,2584.409912
1989-07-20,7.265625,2575.489990
