Date,WBA,DOW
2014-03-20,3666400,91530000
2014-03-21,11835200,353670000
2014-03-24,8469200,110620000
2014-03-25,12812200,89110000
2014-03-26,10602600,92770000
2014-03-27,6109400,93650000
2014-03-28,5210400,86370000
2014-03-31,4845200,104510000
2014-04-01,4662400,88010000
2014-04-02,3936100,78120000
2014-04-03,5291400,77220000
2014-04-04,5943200,104350000
2014-04-07,7521500,116540000
2014-04-08,7923600,98510000
2014-04-09,9828900,91550000
2014-04-10,9934100,112550000
2014-04-11,8313900,119550000
2014-04-14,9753100,90020000
2014-04-15,8273500,97850000
2014-04-16,5529300,94650000
2014-04-17,6221200,136190000
2014-04-21,4814400,79500000
2014-04-22,7201400,84830000
2014-04-23,5740900,76830000
2014-04-24,3454700,80340000
2014-04-25,5378000,90630000
2014-04-28,5342700,105510000
2014-04-29,4017200,71240000
2014-04-30,5886500,92970000
2014-05-01,7852200,75630000
2014-05-02,4238400,78910000
2014-05-05,4172200,70320000
2014-05-06,3863700,74340000
2014-05-07,4197900,93870000
2014-05-08,7113400,75620000
2014-05-09,5083200,74980000
2014-05-12,4067900,71550000
2014-05-13,2993400,71340000
2014-05-14,3316300,71970000
2014-05-15,5399500,106610000
2014-05-16,4726500,119330000
2014-05-19,8322600,82180000
2014-05-20,3526000,75150000
2014-05-21,2177500,76730000
2014-05-22,9353200,59250000
2014-05-23,4880200,61340000
2014-05-27,3800500,80870000
2014-05-28,2888500,62480000
2014-05-29,4405300,55500000
2014-05-30,4645800,105190000
2014-06-02,4270200,57560000
2014-06-03,3647300,67830000
2014-06-04,12767700,65570000
2014-06-05,8565400,70460000
2014-06-06,4972600,80530000
2014-06-09,3697100,67130000
2014-06-10,2609800,64560000
2014-06-11,2687400,61860000
2014-06-12,7302400,72560000
2014-06-13,4172300,95220000
2014-06-16,4831300,77900000
2014-06-17,2956300,63530000
2014-06-18,8847900,73720000
2014-06-19,6472800,80220000
2014-06-20,6545500,247350000
2014-06-23,7992000,63640000
2014-06-24,14048300,80220000
2014-06-25,8676900,73920000
2014-06-26,4102900,63650000
2014-06-27,4082500,137690000
2014-06-30,4022000,90360000
2014-07-01,4191900,74050000
2014-07-02,5240300,57840000
2014-07-03,4730100,66800000
2014-07-07,3233200,61480000
2014-07-08,8850500,75250000
2014-07-09,5097800,67120000
2014-07-10,3910600,67510000
2014-07-11,2690000,61000000
2014-07-14,4172800,60570000
2014-07-15,5703700,101730000
2014-07-16,11340300,111500000
2014-07-17,5152900,99240000
2014-07-18,6967200,112530000
2014-07-21,3613200,67590000
2014-07-22,6258700,77960000
2014-07-23,7215000,73440000
2014-07-24,6606500,66390000
2014-07-25,3367700,67290000
2014-07-28,5145800,66190000
2014-07-29,4900000,75980000
2014-07-30,4831100,77750000
2014-07-31,9358900,101670000
2014-08-01,8120600,84860000
2014-08-04,8935900,76260000
2014-08-05,31355500,76630000
2014-08-06,84130100,78600000
2014-08-07,33620800,80430000
2014-08-08,26909900,82420000
2014-08-11,10249300,65560000
2014-08-12,12393200,62770000
2014-08-13,6933500,66020000
2014-08-14,6360500,62370000
2014-08-15,8870800,109180000
2014-08-18,7346500,75670000
2014-08-19,6918100,67220000
2014-08-20,6664100,61960000
2014-08-21,7879100,65160000
2014-08-22,6176100,64330000
2014-08-25,5238300,57400000
2014-08-26,4128600,50710000
2014-08-27,3908000,61690000
2014-08-28,3548100,51860000
2014-08-29,3189200,81500000
2014-09-02,5430800,64820000
2014-09-03,5032700,62770000
2014-09-04,16255500,68120000
2014-09-05,20600400,76630000
2014-09-08,8897600,65640000
2014-09-09,7663400,69030000
2014-09-10,5923300,76780000
2014-09-11,3143100,63650000
2014-09-12,4728400,82820000
2014-09-15,3711200,71740000
2014-09-16,4268800,73200000
2014-09-17,4767700,87810000
